assisted_bathing,When one character is [[bathing]] another.
slim,"thumb #1750580 thumb #479275 thumb #1630719 thumb #2577636

Possessing a naturally petite, narrow body frame that is neither [[muscular]] nor [[overweight]]. 

Slim [[female|females]] tend toward either [[flat_chested|flat chests]] or noticeably [[small breasts]].

Do [b]not[/b] use this tag to mark an unnaturally bony or scrawny body type. Consider using the [[anorexia]] tag for this situation if applicable.

h4.Related Tags:
* [[Skinny]]
* [[Anorexia]]

h4. See Also:
* [[athletic]]
* [[muscular]]
* [[slightly_chubby]]
* [[stocky]]
* [[tag group:figures]]"
shek,"A warrior society that values strength and hardiness above more intellectual pursuits. They are sometimes a little humourless and have a reputation as dumb brutes, but this is not always the case. Their external skeletal plates provide a natural armour but hinders more dexterous pursuits like sneaking around."
abstract_background,"thumb #604718 thumb #2100645 thumb #530258 thumb #379247 thumb #317405

Use this for images or animations that don't feature a distinct background. It usually entails having a solid color background with a formless, artistic design or possibly some kind of abstract imagery. Note that this can also apply additional tags in some cases, like when these images have [[spiral background|spirals]] and/or [[gradient background|color gradients]].

h4. Not to be confused with
* [[geometric_background]]
* [[gradient_background]] - A gradient by itself isn't abstract.
* [[monotone_background]] - Solid color backgrounds.
* [[pattern_background]]
** [[grid_background]] - A more specific version.

h4. See also
* [[tag_group:background]]

* [b]abstract_background[/b]
** [[spiral_background]]
* [[simple_background]]"
tympole,"h4. See Also:

* [[pokémon]]
** tympole
*** [[palpitoad]]
**** [[seismitoad]]"
<3_censor,"h4. See [[heart_censor]]
[section=Previous Description]
A censorship technique which uses heart shapes to cover parts of the image (usually the genitalia), instead of other methods like a [[censor bar]] or [[mosaic censorship]]. Censorship is common in art from Japan, where genitals must be censored by law.

h4.See Also:

* [[censored]]
** [b]<3_censor[/b]
** [[censor_bar]]
** [[convenient_censorship]]
*** [[hair_covering_breasts]]
*** [[tail_censorship]]
** [[creative_censorship]]
** [[ineffective_censorship]]
** [[mosaic_censorship]]
** [[naturally_censored]]
*** [[nipple_tuft]]
** [[pokéball_censor]]
* [[uncensored]]
* [[uncensor_request]]"
x-wing,"


The [b]T-65B X-wing starfighter[/b] is a [[spaceship|starfighter]] from the [[Star Wars]] franchise. They are depicted as the primary interceptor and dogfighter of the Rebel Alliance and the New Republic.

h4. External:

* ""Wikipedia - X-wing fighter"":https://en.wikipedia.org/wiki/X-wing_fighter"
yonic_chastity_device,"Yonic counterpart to [[phallic chastity device]]. Intended to apply to any [[chastity device]] with the apparent intent to restrict a subject's access to a sexual orifice (most typically a [[vagina]]) of the subject when the device is in use.

More simply: Does it seem like a present device is there to do [[chastity device]] things to a [[vagina]]? (or other hole based sexual cavity) (regardless of if that device is currently in a position to perform that function)"
greenland,"[i][b]Greenland[/b][/i], known as [i]Kalaallit Nunaat[/i] in Greenlandic, is an island country in North America — it is the largest island on [[Earth]], and the northernmost country in North America, located east of the [[canada|Canadian arctic archipelago]]. Greenland's capital and largest city is Nuuk.

Greenland is a ""constituent country"":https://en.wiktionary.org/wiki/constituent_country of the [[denmark|Kingdom of Denmark]], meaning it is a self-governing territory of Denmark. 


h4. See Also
* [[tag group:countries]]"
leblanc_(lol),"LeBlanc - the Deceiver

[[league_of_legends|League of Legends]] Character

""Picture"":http://ddragon.leagueoflegends.com/cdn/img/champion/splash/Leblanc_0.jpg"
tantra,"from sanskrit [i]tan[/i] 'to weave'/'to compose' ; it is a way to 'weave' the physical and spiritual together. it is to achieve spiritual and/or energetic contact. 

taken from webmd. "
bloated,"thumb #2506985 thumb #2975079 thumb #3837985 thumb #3147323 

[b]Bloated[/b] describes a character with a [[belly]] that is [i]temporarily enlarged[/i] due to being full of something - this could be food, liquids, gases, or even another character. 

A bloated character may describe the fullness of their [[stomach]], express or show discomfort, they are often shown [[burping]]. A character's bloated belly will usually make [[digestion noises]] or [[sloshing belly|sloshing noises]]. Visual clues in the scene can help determine what exactly is causing their belly to bloat, but this tag is especially helpful when the nature of the character's enlarged belly isn't entirely clear from size or shape, but is obviously not fat or pregnancy.

h5. Bloating Causes
* [[inflation]] — belly full of air, water, cum or other gases/liquids [i](see page for variants)[/i]
* [[stuffing]] — when the character's belly is full of food
* [[vore]] — belly full of one or more characters, bloated is more likely to be tagged with size difference between the predator and prey, or [[after vore]] with a smaller belly

h5. Common Elements
* [[burping]]
* [[rumbling stomach]]
* [[digestion noises]]
* [[sloshing belly]]
* [[holding belly]]
* [[belly blush]]
* [[outie navel]]

h4. Related Tags
* [[belly expansion]]
* [[belly inflation]]
* [[big belly]]
** [[huge belly]]
** [[hyper belly]]"
pillarbox,"Similar to [[letterbox]], but instead of having edge above and below content, there's edges on both sides of the content. 

Where [[letterbox]]ing can be artistic choise, pillarboxing is more often caused by technical issues. Most often caused by incorrect aspect ratio where non-widescreen content was rendered in widescreen or image being [[screencap]]ped on mobile device instead of saving the image. 

Not to be confused with bright red post box, pillar box, from england. 

h4. See also

* [[Border]]
* [[Letterbox]]
* [[mailbox]]"
fall_of_eden,"Fall of Eden is an open world text adventure similar to [[Corruption of Champions]] and developed by [[aldergames]].

h4. External links:

* https://wiki.smutosaur.us/FoE/Main_Page"
sayu_(nsr),"Sayu is a virtual [[mermaid]] idol working for the record label NSR from the [[video game]] [i]""[[No Straight Roads]]""[/i].

thumb #2397170

Behind the scenes she is in reality a [[robot]] controlled and developed by a group of [[teenagers]] comprising of Tila (voice actor/singer), Remi (graphics designer), Dodo (motion capture specialist) and Sofa (director/film editor)."
yissachar,"A dark red and yellow dragon character owned by ""Wehf"":https://www.furaffinity.net/user/wehf/."
lifting,"Used where a character is [b]partially[/b] supporting the weight of another character ([u]not an object[/u]).

Examples

h4. Not to be confused with

* [b]Objects[/b] - Objects being held should use the [[holding object]] tag instead, and certain lifting activities have their own separate tags such as [[weightlifting]].
* [[Carrying]] - Used where a character is supporting [b]all[/b] of the weight of another character.
* [[Riding]] - A concept that is distinct from carrying and lifting that involves riding on the backs of animals.

H4. Types
* [[Wheelbarrow Position]]

h4. See also

* [[tag_group:touching]]

* [[dragging]]
* [[grabbing]]
* [[holding_(disambiguation)]]
* [[lifted]]
* [[pulling_(disambiguation)]]
* [[straddling]]
* [[suspension]] - When being lifted/suspended off groud by mechanisms."
incase,"[b]Safe-mode blocked URLs:[/b]
https://incaseart.tumblr.com/
https://buttsmithy.tumblr.com/

https://www.dropbox.com/s/12c7ph4x3c5wu4p/InCase%20Tumblr%20Archive.rar?dl=0
Tumblr pre-purge archived dropbox "
banding,"Banding is a medical or veterinary procedure involving the use of an elastic band to constrict blood flow to a particular part of the body. Source: https://en.wikipedia.org/wiki/Banding_(medical)

On this site, it most commonly takes the form of either [[penile_banding]] or [[elastration]]."
higglytownhero,"Commissioning information: ""[Link]"":http://higglytownhero.deviantart.com/journal/COMMISSION-INFO-657803827

h5. Sources:
* ""DeviantArt"":https://www.deviantart.com/higglytownhero
* ""FurAffinity"":https://www.furaffinity.net/user/higgly.town.hero/
* ""Pixiv"":https://www.pixiv.net/en/users/7946845
* ""Tumblr"":https://higburger.tumblr.com/
* ""Twitter"":https://twitter.com/HigglyTH
* ""Weasyl"":https://www.weasyl.com/~higgly

h5. Streams:
* ""Picarto"":https://picarto.tv/higglytownhero"
recolor_(disambiguation),"Please consider one of the following, more specific tags.

* [[alternate color]]: Characters (and fictional species) depicted with a different color scheme than normal.
* [[color edit]]: [[Third-party edit|Third-party edits]] that adjust a (usually uncolored) parent post to add or revise colors.
* [[fan character]]: Characters based on existing media with no official affiliation."
mcro,"I'm an artist with spanish roots and my style are digital watercolor drawings.
Macro. Anthro. Non-Anthro. Bestiality.

McRo"
fellatio_sandwich,"Known usually as a blowjob sandwich, it is a position where two partners suck on on both sides of the penis simultaneously. This is usually seen in the third-person perspective in many scenarios."
anzu_haga,Tanuki/Wolf Shapeshifter. Owned by CommissarSpuddy.
butt_wings,"thumb #14712 thumb #422607 thumb #19058

Wings that, for whatever reason, originate from or around the butt. Usually not designed with practicality in mind.

h4.See also:

* [[wings]]
** [[bat_wings]]
** butt_wings
** [[butterfly_wings]]
** [[feathered_wings]]
** [[head_wings]]
** [[membranous_wings]]
** [[realistic_wings]]
** [[spread_wings]]
** [[winged_arms]]"
jake_cottontail,"A character belonging to the artist [[Amarimasi]], Jake is a [[cub|preteen]] [[male]] [[rabbit]] who has been described by the artist as being 'inexplicably irresistible', as seemingly everyone who comes in contact with Jake ends up [[sex|having sex]] with him, with his most notable relationship being with [[otter]] [[female|girl]] [[Katie_kirster|Katie Kirster]], whom he seems to have genuine feelings for.

Note that initiating a sexual encounter is rarely his idea, and that such encounters tend to have the characters aggressively seducing Jake at best and [[rape|forcing themselves on him]] at worst. Jake appears to be [[bisexual]], as he has had agreeable sexual encounters with characters of both genders, but it is difficult to tell since much of his sex life is non-consensual."
yenza,"""Commission info."":https://www.furaffinity.net/view/18975715/ "
nude_modelling,"thumb #192494 thumb #694786 thumb #820238 thumb #1775069

When a character is [[modelling]] while [[nude]] or [[mostly_nude]] for another character(s), either as a model (on a runway or stage) or as an [[artist|artist's]] muse for the purpose of [[creating_art]] of the modelling character.

* Not to be confused with [[pinup]].

h4.See Also:
* [[artist]]
** [[camera]]
*** [[photo]]
** [[paintbrush]]
** [[paper]]
** [[pen]]
** [[pencil_(object)]]
** [[sculpture]]
*** [[statue]]
* [[creating_art]]
** [[drawing]]
** [[painting]]
** [[recording]]
** [[sculpting]]
* [[modelling]]
** [b]nude_modelling[/b]
* [[pinup]]
* [[pose]]"
fumigating,disinfect or purify (an area) with the fumes of certain chemicals.
rivalry,Images or animations depicting two separate differences against each other 
pussy_katt_(character),Pussy Katt is a [[pregnant]] [[lion]] who enjoys acting lewdly and lounging about in the [[nude]]. She was created by the artist [[Xela_(artist)|Xela]].
winter_solstice,"The [b]winter solstice[/b] is the moment when one of the Earth's poles is at its maximum tilt away from the Sun as recognized in the corresponding hemisphere.  At this time, the Sun's maximum elevation in the sky is at its lowest.  In the Northern Hemisphere, this occurs on either [b]December 21[/b] or [b]22[/b], while in the Southern Hemisphere, this occurs on either [b]June 20[/b] or [b]21[/b].  It has commonly been recognized as the middle of the winter in temperate climates or, alternately as the official beginning of winter.

Many cultures throughout the world have interpreted this as the death and rebirth of the Sun or a Sun god, which stopped the Sun from continuing its trek south- or northward until it disappeared forever.  As such, festivals at the winter solstice are commonly celebrated.


h4. More Information
""Winter solstice (Wikipedia)"":https://en.wikipedia.org/wiki/Winter_solstice


h4. Also see
* [[June (month)]]
* [[December (month)]]
"
dr._wondertainment,"thumb #4330600

[b]SCP-001-NORTH[/b], aka, [i]Dr. Wondertainment[/i] is one of the many proposals for SCP-001 in the SCP Foundation Mythos.

Dr. Wondertainment is [i]A Simple Toymaker[/i] of unknown origin. They are the founder and CEO of Dr. Wondertainment ©️ and the creator of countless anomalous children's toys. Most notably, 20 anomalous humanoid entities know as The Little Misters.

Dr. Wondertainment is one of if not the most powerful reality benders in the entire Mythos, having been alive for hundreds of years and personally creating many of his anomalous products. 

Out of universe, Dr. Wondertainment is one of the oldest GoI's in the mythos and has ties and history with most other GoI's including The Factory, MC&D Ltd., The Sarkicks, The Church of the Broken God, and AWCY?.

He is heavily inspired by the character of Roahld Dahl's Willy Wonka.

Despite his immense power and elusiveness, Dr. Wondertainment is relatively benign and is classified as Safe."
kingpin_(species),"The [b]Kingpin[/b] is an [[alien]] enemy that was cut from [i][[Half-Life]][/i]. While it lacked convincing AI and gameplay goals, it was scripted nevertheless. It can be found in the game files.

Twice the height of an average person, it was to have a massive brain filling its entire body, with four eyestalks spaced evenly around it. An early version was to walk on three chitinous legs with a clicking sound; a later version, called Sactildiae Nefariousium, traded the rear leg for a thick, worm-like ""tail"". Its psionic attacks and psionic defenses would have made it immune to missile weapons.

h4. Further reading:
""Combine OverWiki page"":https://combineoverwiki.net/wiki/Kingpin"
blue_pawpads,"Self-explanatory.

This tag is used when a character's [[pawpads]] are blue in color.

h4.Examples:
thumb #710444 thumb #2741793 thumb #2809770

h4.Colors:
* [[pink_pawpads]]
* [[black_pawpads]]
* [b]blue_pawpads[/b]
* [[brown_pawpads]]
* [[green_pawpads]]
* [[purple_pawpads]]
* [[yellow_pawpads]]
* [[red_pawpads]]
* [[white_pawpads]]
* [[orange_pawpads]]

h4.See also:
* [[paws]]
** [[hindpaw]]
** [[pawprint]]
** [[paw_gloves]]"
engrid,"A female [[doberman]] character belonging to artist [[jeremy_bernal|Jeremy Bernal]]. Notable features include wearing a black SS officer cap, a [[riding_crop|riding crop]], a [[monocle]], and [[dominatrix_gear|dominatrix]] gear.

[ltable]
Descriptum                        |Descriptor
[[tag_group:body_types|Body Type]]|[[anthro]]
[[howto:tag_genders|Gender]]      |[[female]]
[[tag_group:species|Species]]     |[[doberman]]
Body Covering                     |[[brown_fur]]
└                                 |[[countershading]]
[[Hair]]                          |[[brown_hair]]
└                                 |[[short_hair]]
Eyes                              |[[blue_eyes]]
Accessories                       |[[monocle]]
├                                 |[[riding_crop]]
├                                 |[[spiked_collar]]
├                                 |SS Officer [[peaked_cap]]
└                                 |[[dominatrix]] gear
[/ltable]"
lucardo_cruz,"Hello , My name is Lucardo Cruz !

Im here to share my work with you.
Im still learning a few things about drawing , and my work is not perfect , but I hope to get better with time ^^

I post some of my work on my social acconts.

"
grove_(game),"thumb #2939394

h4. NOTE: This game is in active development. Features will be incomplete.

[b][i]GROVE[/i][/b] is a (currently) free gay-focused NSFW RPG following the journey of an adventurer as he attempts to venture into the far north of an unexplored land. You play as [[grove_(regalbuster)|Grove]], a skilled [[dragon]] explorer and [[cartographer]] assisting in the main island colonization efforts known as the ""central expanse.""

As parties disperse, individuals begin to disappear further towards the cusp of the north. Soon, rumors of [color=pink]curses[/color] and monstrous entities encroaching from the northern expanse begin to spread among your ranks. As you near the end of your allocated survey areas, you are given a strange contraption with a marked map, the only guide to its function.

Your interest piqued, you set off and begin your journey into the northern expanse.

h5. The following is a list of kinks and fetishes featured in the game:
* [[Male/Male]]
* [[Hypnosis]]/[[Brainwashing]]/[[Mind Control]]
* [[Tentacles]]
* [[Bondage]]
* [[Slime]]
* [[Dronification]]
* [[Corrupion]]
* [[Latex]]
* [[Symbiosis]]
* [[Penis Milking]]

h5. Associated websites:
* ""GroveDev (Fur Affinity Page)"":https://www.furaffinity.net/user/grovedev/
* ""@regalbuster (Twitter Page)"":https://www.twitter.com/regalbuster
* ""GROVE Development Woes (Discord Server)"":https://discord.com/invite/TfHstyJYCB
* ""groverpgnsfw (Official itch.io Page)"":https://grovedev.itch.io/groverpgnsfw"
international_beaver_day,"[b]April 7[/b] is [b]International Beaver Day[/b], created in 2008 by the environmental group Beavers: Wetlands & Wildlife in order to raise awareness about the declining population of [[beaver|beavers]] across the world as well as the role they play in nature and the environment.

h4. More Information
""International Beaver Day (Days of the Year)"":https://www.daysoftheyear.com/days/beaver-day/


h4. See also
* [[April (month)]]

"
ball_markings,"Add this tag when a character has distinctive markings on their balls.

h4.See also:
* [b][[Markings]][/b]
* [b]Marking placements[/b]
** [[arm_markings]]
*** [[shoulder_markings]]
*** [[wrist_markings]]
** [[back_markings]]
** [[breast_markings]]
** [[butt_markings]]
** [[chest_markings]]
** [[belly_markings]]
** [[ear_markings]]
** [[eye_markings]]
** [[head_markings]]
*** [[facial_markings]]
*** [[forehead_markings]]
*** [[occipital_markings]]
** [[leg_markings]]
*** [[thigh_markings]]
** [[tail_markings]]
** [[genital_markings]]
*** [[penis_markings]]
*** ball_markings
*** [[pussy_markings]]
*** [[sheath_markings]]"
neversoft,"Neversoft is a writer

""About posting to e621 / R34 by [Past Sponsor] Neversoft"":https://inkbunny.net/j/492175
[quote]Just wanted to say that anyone is completly free to post to e621 and rule34. We think its really nice for both archival and getting our art out there.

""XanOdice"":https://inkbunny.net/XanOdice and I are not great at posting on those sites so we very much appreciate it a lot! Thank you! <3

Just make sure to give people proper credit. ^^[/quote]
"
humanoid_to_feral,When a [[humanoid]] character [[transformation|transforms]] into a [[feral]] being.
grison,"[i]Galictis[/i], or grisons, is a small genus of [[Mustelid]] containing two species: the [[greater_grison]] and [[lesser_grison]].  These animals are also known as ""South American wolverines"" though there is no direct relation to the [[grison]] and the [[wolverine]].

h4. Taxonomy:
* [[mustelid|mustelidae]]
** [[musteline|mustelinae]]
*** ([i][[grison|Galictis]][/i])
**** [[greater_grison]]
**** [[lesser_grison]]

h4. More information:
https://en.wikipedia.org/wiki/Galictis"
miranda_(plantedpot),"thumb #3701517   thumb #3720693   thumb #3762891   thumb #4014517   thumb #4014518   

[b]Miranda[/b] is a [[female]] [[Serperior]] character created and owned by the artist [[PlantedPot]].

A [[royalty|royal]] who inherited great wealth as a [[teenager|teenage]] [[Snivy]], Miranda and her pampered [[stomach]] were enabled to a life of pride and gluttony, having since grown into an [[obese]] Serperior with a [[apode|lack of legs]] or shame for her size."
echodoll,"An Echodoll is any of the four members of the ""Echodolls."":/wiki_pages/51395"
ak-12,"thumb #2921607 thumb #3383763

The AK-12, ""Avtomat Kalashnikova, 2012"" (GRAU index 6P70) is a Russian assault rifle chambered in 5.45×39mm designed and manufactured by the Kalashnikov Concern (formerly Izhmash), making it the fifth generation of Kalashnikov rifles.

h4. See also
* [[ranged_weapon]]
** [[assault_rifle]]
* [[kalashnikov]]"
ticket,"A [b]ticket[/b] is a strip of cardboard, or paper used to gain admission into events, or traded in for prizes. Tickets may also be given out as a punishment for violating laws or regulations. For those kinds of tickets, use the [[citation]] tag instead."
graphite_(artwork),Traditional artwork made with a graphite pencil.
elizabeth_(ghostbusters),https://ghostbusters.fandom.com/wiki/Elizabeth
chipmunk_humanoid,"Characters that appear almost entirely [[human]], but have ears or tail like a [[chipmunk]].

* Note that animal humanoids should never be tagged [[anthro]] or [[human]].
* If the ears seem fake, use [[fake ears]] instead.

h4.See also:

* [[humanoid]]
** [[animal_humanoid]]
*** [[rodent_humanoid]]
**** [[beaver_humanoid]]
**** [[capybara_humanoid]]
**** [[chinchilla_humanoid]]
**** chipmunk_humanoid
**** [[degu_humanoid]]
**** [[hamster_humanoid]]
**** [[jerboa_humanoid]]
**** [[mouse_humanoid]]
**** [[prairie_dog_humanoid]]
**** [[rat_humanoid]]
**** [[squirrel_humanoid]]
* [[anthro]]
* [[feral]]
* [[human]]
* [[not_furry]]
* [[taur]]"
submission_hold,"In combat sports, a [b]submission hold[/b] is a [[grappling]] hold that is applied with the purpose of forcing an opponent to submit out of either extreme pain or fear of injury.

Submission holds are used primarily in ground fighting and can be separated into [i]constrictions[/i] (chokeholds, compression locks, suffocation locks) and [i]manipulations[/i] (joint locks, leverages, pain compliance holds). When used, these techniques may cause dislocation, torn ligaments, bone fractures, unconsciousness, or even death.

""Submission hold - From Wikipedia, the free encyclopedia"":https://en.wikipedia.org/wiki/Grappling_hold#Submission_hold"
horizontal_diclitorism,"thumb #212004
A form of [[diclitorism]] in which the two clitores appear side-by-side, usually with two separate [[clitoral_hood|clitoral hoods]].

H4. See also:
* [[vertical_diclitorism]]
* [[hemiclitores]]
* [[multi_pussy]]"
dancer_of_the_boreal_valley,Dancer of the Boreal Valley is a boss in [[Dark Souls 3]].
sheeron,Male cheetah. Reference: https://www.furaffinity.net/view/38480348/
kaye_devin,"This tag should refer to the character Kaye Devin, though it was used as an artist name before ""It's a Trap!""."
text_on_bra,"Writing or typography in any language located on a [[bra]].

h6. Types of bras with text
* [[text_on_sports_bra]]

h4. See also
* [[bra]]
* [[text]]
* [[text_on_clothing]]
** [[text_on_underwear]]"
douglas_(iceleung),"Some useful info on my fluffy scaley boy:

[b]Name:[/b] Douglas ""Doug"" Frostwind
[b]Species:[/b] Eastern Dragon
[b]Age:[/b] 26
[b]Height:[/b] 4'3"", tail is apprx. 3' long and can be magically extended
[b]Occupation:[/b] Crafter of magical focuses and spell books
[b]Likes:[/b] Sushi, ramen, comedy/superhero/sci-fi movies, working with his hands, having his fur brushed, and hot drinks on cold days
[b]Dislikes:[/b] Green veggies, hot weather, low-quality hairbrushes, and disruptions in his daily schedule
[b]Sexuality:[/b] Bisexual, leaning male
[b]Kinks:[/b] Small dom/big sub, bondage, tickling, feet/paws, spanking, humiliation, gags, blindfolds, and pet play (master role)

A few quick facts about Doug:
* Being an ice dragon, his scales are naturally cool to the touch. A bit ironically, his favorite drink is hot cocoa.
* His tail is completely prehensile, able to be controlled by him at will. It is also quite strong, able to support his entire body and lift it off the ground to make him taller, a skill which has come in handy at many points in his life due to his short height. He can also use it to wrap up folks he feels may need a lesson or two about picking on the small.~
* He wears prescription glasses; without them his vision is quite bad, and he can only see clearly a few feet in front of him. Still, he can make people and places out fairly well even if he has to squint to do so.
* His favorite clothing items are hoodies and cargo shorts; the former for their comfort, and the latter for their extra storage space.
* He has a boyfriend, a lion by the name of Mars. He loves to steal the bigger fur's sweatshirts for himself sometimes. Mars is also the only person around allowed to call Douglas ""Dougie"".
* His job leaves him well off financially, but a good amount of that money goes into... Personal items (Read; bondage gear and other adult toys) and he prefers to keep his looks and home decor casual.
* Being a mage, Douglas has access to many forms of magic, but his strongest suit is undoubtedly ice magic thanks to his frost dragon heritage. He can cast magic without the need of a focus, but use of a wand he made for himself makes it that much more powerful and allows him to expand the length of his tail if he desires.
* If there's anything else you wanna know, feel free to ask!

(written by IceLeung, source: https://www.furaffinity.net/view/40363967/)"
jorm,A green and white Sergal with gold bands and small red markings near his eyes
cum_in_toes,"When there is [[cum]] in-between a character's toes.

h4. See also:

* [[cum_on_feet]]
* [[bukkake]]
* [[cum_in_mouth]]
* [[cumshot]]
* [[fellatio]]"
arm_grab,"thumb #866434

Used to denote a character grabbing the arm(s) of another character.

h4. See also
* [[tag_group:touching]]
* [[hand_on_arm]] - When a character has their hand on their own or another character arm(s).
* [[holding_arm]] - When a character is holding their own arm(s)."
tatarian_aster_(flower),"Tatarian aster, or [i]aster tataricus[/i], is a type of [[aster_(flower)|aster flower]] with a pale purple color https://en.wikipedia.org/wiki/Aster_tataricus"
negativetheory,added new twitter link
rainbow_boa,"The [b]rainbow boa[/b] ([i]Epicrates cenchria[/i]), also known as a [b]slender boa[/b], is a [[boa_(snake)|boa]] species endemic to Central and South America.

Rainbow boas may feature body colors in the reds, oranges, or browns and contain splotch like markings along its body.

h4. External links

* https://en.wikipedia.org/wiki/Rainbow_boa

h4. See also

* [[reptile]]
** [[snake]]
*** [[alethinophidian]]
**** [[afrophidian]]
***** [[booid]]
****** [[boa_(snake)]]
******* [[boinae]]
******** [b]rainbow_boa[/b]"
linkwolf,"Dang, their art is much improved now!"
cold_shoulder_leotard,"A sleeved leotard with the shoulders cut out, but the sleeves are still attached."
